电影名称,评分,导演,评论
肖申克的救赎,9.7,弗兰克·德拉邦特,希望让人自由。
霸王别姬,9.6,陈凯歌,风华绝代。
阿甘正传,9.5,罗伯特·泽米吉斯,一部美国近现代史。
泰坦尼克号,9.5,詹姆斯·卡梅隆,失去的才是永恒的。 
这个杀手不太冷,9.4,吕克·贝松,怪蜀黍和小萝莉不得不说的故事。
千与千寻,9.4,宫崎骏,最好的宫崎骏，最好的久石让。 
美丽人生,9.5,罗伯托·贝尼尼,最美的谎言。
星际穿越,9.4,克里斯托弗·诺兰,爱是一种力量，让我们超越时空感知它的存在。
盗梦空间,9.4,克里斯托弗·诺兰,诺兰给了我们一场无法盗取的梦。
辛德勒的名单,9.5,史蒂文·斯皮尔伯格,拯救一个人，就是拯救整个世界。
楚门的世界,9.4,彼得·威尔,如果再也不能见到你，祝你早安，午安，晚安。
忠犬八公的故事,9.4,莱塞·霍尔斯道姆,永远都不能忘记你所爱的人。
海上钢琴师,9.3,朱塞佩·托纳多雷,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,9.2,拉库马·希拉尼,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,9.3,克里斯托夫·巴拉蒂,天籁一般的童声，是最接近上帝的存在。 
机器人总动员,9.3,安德鲁·斯坦顿,小瓦力，大人生。
疯狂动物城,9.2,拜伦·霍华德,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
无间道,9.3,刘伟强,香港电影史上永不过时的杰作。
控方证人,9.6,比利·怀尔德,比利·怀德满分作品。
大话西游之大圣娶亲,9.2,刘镇伟,一生所爱。
熔炉,9.4,黄东赫,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,9.3,弗朗西斯·福特·科波拉,千万不要记恨你的对手，这样会让你失去理智。
触不可及,9.3,奥利维·那卡什,满满温情的高雅喜剧。
当幸福来敲门,9.2,加布里尔·穆奇诺,平民励志片。 
寻梦环游记,9.1,李·昂克里奇,死亡不是真的逝去，遗忘才是永恒的消亡。
末代皇帝,9.3,贝纳尔多·贝托鲁奇,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
龙猫,9.2,宫崎骏,人人心中都有个龙猫，童年就永远不会消失。
怦然心动,9.1,罗伯·莱纳,真正的幸福是来自内心深处。
活着,9.3,张艺谋,张艺谋最好的电影。
哈利·波特与魔法石,9.2,Chris,童话世界的开端。
蝙蝠侠：黑暗骑士,9.2,克里斯托弗·诺兰,无尽的黑暗。
指环王3：王者无敌,9.3,彼得·杰克逊,史诗的终章。
我不是药神,9,文牧野,对我们国家而言，这样的电影多一部是一部。
乱世佳人,9.3,维克多·弗莱明,Tomorrow is another day.
飞屋环游记,9.1,彼特·道格特,最后那些最无聊的事情，才是最值得怀念的。 
素媛,9.3,李濬益,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
十二怒汉,9.4,Sidney,1957年的理想主义。 
哈尔的移动城堡,9.1,宫崎骏,带着心爱的人在天空飞翔。
何以为家,9.1,娜丁·拉巴基,凝视卑弱生命，用电影改变命运。
让子弹飞,9,姜文,你给我翻译翻译，神马叫做TMD的惊喜。
摔跤吧！爸爸,9,涅提·蒂瓦里,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
猫鼠游戏,9.1,史蒂文·斯皮尔伯格,骗子大师和执著警探的你追我跑故事。 
天空之城,9.2,宫崎骏,对天空的追逐，永不停止。 
鬼子来了,9.3,姜文,对敌人的仁慈，就是对自己残忍。
海蒂和爷爷,9.3,阿兰·葛斯彭纳,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
少年派的奇幻漂流,9.1,李安,瑰丽壮观、无人能及的冒险之旅。
钢琴家,9.3,罗曼·波兰斯基,音乐能化解仇恨。
大话西游之月光宝盒,9,刘镇伟,旷古烁今。
指环王2：双塔奇兵,9.2,彼得·杰克逊,承前启后的史诗篇章。
闻香识女人,9.1,马丁·布莱斯,史上最美的探戈。
死亡诗社,9.2,彼得·威尔,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
绿皮书,8.9,彼得·法雷里,去除成见，需要勇气。
罗马假日,9.1,威廉·惠勒,爱情哪怕只有一天。
大闹天宫,9.4,万籁鸣,经典之作，历久弥新。
天堂电影院,9.2,朱塞佩·托纳多雷,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
指环王1：护戒使者,9.1,彼得·杰克逊,传说的开始。
黑客帝国,9.1,安迪·沃卓斯基,视觉革命。
教父2,9.3,弗朗西斯·福特·科波拉,优雅的孤独。
狮子王,9.1,Roger,动物版《哈姆雷特》。
辩护人,9.2,杨宇硕,电影的现实意义大过电影本身。
饮食男女,9.2,李安,人生不能像做菜，把所有的料都准备好了才下锅。
搏击俱乐部,9,大卫·芬奇,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
本杰明·巴顿奇事,9,大卫·芬奇,在时间之河里感受溺水之苦。
美丽心灵,9.1,朗·霍华德,爱是一切逻辑和原由。
穿条纹睡衣的男孩,9.2,马克·赫尔曼,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴,9.2,弗洛里安·亨克尔·冯·多纳斯马尔克,别样人生。
情书,8.9,岩井俊二,暗恋的极致。
两杆大烟枪,9.1,盖·里奇,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,8.9,朱塞佩·托纳多雷,美丽无罪。
音乐之声,9.1,罗伯特·怀斯,用音乐化解仇恨，让歌声串起美好。
看不见的客人,8.8,奥里奥尔·保罗,你以为你以为的就是你以为的。
阿凡达,8.8,詹姆斯·卡梅隆,绝对意义上的美轮美奂。
哈利·波特与死亡圣器(下),9,大卫·叶茨,10年的完美句点。
拯救大兵瑞恩,9.1,史蒂文·斯皮尔伯格,美利坚精神输出大片No1.
飞越疯人院,9.1,米洛斯·福尔曼,自由万岁。
小鞋子,9.2,马基德·马基迪,奔跑的孩子是天使。
沉默的羔羊,8.9,乔纳森·戴米,安东尼·霍普金斯的顶级表演。
